,89,90
vn155_indb,1.0,1.0
vn155_indc,0.0,0.0
vn155_indd,-0.0,-0.0
vn156,0.0,0.0
vn156_ind,-0.0,-0.0
vn156_inda,1.0,1.0
vn156_indb,1.0,1.0
vn156_indc,0.0,0.0
vn156_indd,-0.0,-0.0
vn157,0.0,0.0
vn157_ind,-0.0,-0.0
vn157_inda,1.0,1.0
vn157_indb,1.0,1.0
vn157_indc,0.0,0.0
vn157_indd,-0.0,-0.0
vn158,0.0,0.0
vn158_ind,-0.0,-0.0
vn158_inda,1.0,1.0
vn158_indb,1.0,1.0
vn158_indc,0.0,0.0
vn158_indd,-0.0,-0.0
vn159,0.0,0.0
vn159_ind,-0.0,-0.0
vn159_inda,1.0,1.0
vn159_indb,1.0,1.0
vn159_indc,0.0,0.0
vn159_indd,-0.0,-0.0
vn15_ind,0.0,0.0
vn15_inda,1.0,1.0
vn15_indb,1.0,1.0
vn15_indc,0.0,0.0
vn15_indd,0.0,0.0
vn16,0.0,0.0
vn160,0.0,0.0
vn160_ind,-0.0,-0.0
vn160_inda,1.0,1.0
vn160_indb,1.0,1.0
vn160_indc,0.0,0.0
vn160_indd,-0.0,-0.0
vn161,0.0,0.0
vn161_ind,-0.0,-0.0
vn161_inda,1.0,1.0
vn161_indb,1.0,1.0
vn161_indc,0.0,0.0
vn161_indd,-0.0,-0.0
vn162,0.0,0.0
vn162_ind,-0.0,-0.0
vn162_inda,1.0,1.0
vn162_indb,1.0,1.0
vn162_indc,0.0,0.0
vn162_indd,-0.0,-0.0
vn163,0.0,0.0
vn163_ind,-0.0,-0.0
vn163_inda,1.0,1.0
vn163_indb,1.0,1.0
vn163_indc,0.0,0.0
vn163_indd,-0.0,-0.0
vn164,0.0,0.0
vn164_ind,-0.0,-0.0
vn164_inda,1.0,1.0
vn164_indb,1.0,1.0
vn164_indc,0.0,0.0
vn164_indd,-0.0,-0.0
vn165,0.0,0.0
vn165_ind,-0.0,-0.0
vn165_inda,1.0,1.0
vn165_indb,1.0,1.0
vn165_indc,0.0,0.0
vn165_indd,-0.0,-0.0
vn166,0.0,0.0
vn166_ind,-0.0,-0.0
vn166_inda,1.0,1.0
vn166_indb,1.0,1.0
vn166_indc,0.0,0.0
vn166_indd,-0.0,-0.0
vn167,0.0,0.0
vn167_ind,-0.0,-0.0
vn167_inda,1.0,1.0
vn167_indb,1.0,1.0
vn167_indc,0.0,0.0
vn167_indd,-0.0,-0.0
vn168,0.0,0.0
vn168_ind,-0.0,-0.0
vn168_inda,1.0,1.0
vn168_indb,1.0,1.0
vn168_indc,0.0,0.0
vn168_indd,-0.0,-0.0
vn169,0.0,0.0
vn169_ind,-0.0,-0.0
vn169_inda,1.0,1.0
vn169_indb,1.0,1.0
vn169_indc,0.0,0.0
vn169_indd,-0.0,-0.0
vn16_ind,0.0,0.0
vn16_inda,1.0,1.0
vn16_indb,1.0,1.0
vn16_indc,0.0,0.0
vn16_indd,0.0,0.0
vn17,0.0,0.0
vn170,0.0,0.0
vn170_ind,-0.0,-0.0
vn170_inda,1.0,1.0
vn170_indb,1.0,1.0
vn170_indc,0.0,0.0
vn170_indd,-0.0,-0.0
vn171,0.0,0.0
vn171_ind,-0.0,-0.0
vn171_inda,1.0,1.0
vn171_indb,1.0,1.0
vn171_indc,0.0,0.0
vn171_indd,-0.0,-0.0
vn172,0.0,0.0
vn172_ind,-0.0,-0.0
vn172_inda,1.0,1.0
vn172_indb,1.0,1.0
vn172_indc,0.0,0.0
vn172_indd,-0.0,-0.0
vn173,0.0,0.0
vn173_ind,-0.0,-0.0
vn173_inda,1.0,1.0
vn173_indb,1.0,1.0
vn173_indc,0.0,0.0
vn173_indd,-0.0,-0.0
vn174,0.0,0.0
vn174_ind,-0.0,-0.0
vn174_inda,1.0,1.0
vn174_indb,1.0,1.0
vn174_indc,0.0,0.0
vn174_indd,-0.0,-0.0
vn175,0.0,0.0
vn175_ind,-0.0,-0.0
vn175_inda,1.0,1.0
vn175_indb,1.0,1.0
vn175_indc,0.0,0.0
vn175_indd,-0.0,-0.0
vn176,0.0,0.0
vn176_ind,-0.0,-0.0
vn176_inda,1.0,1.0
vn176_indb,1.0,1.0
vn176_indc,0.0,0.0
vn176_indd,-0.0,-0.0
vn177,0.0,0.0
